Name,TM_score,RMSD,,id,organism_from_ncb,species,genus,family,order,class,phylum,kingdom,domain
AST93826.1_33932,0.8293,2.25,,AST93826.1,Sutcliffiella cohnii,Sutcliffiella cohnii,Sutcliffiella,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
ASY13120.1_1884915,0.7757,2.79,,ASY13120.1,Candidatus Nanopelagicus hibericus,Candidatus Nanopelagicus hibericus,Candidatus Nanopelagicus,Candidatus Nanopelagicaceae,Candidatus Nanopelagicales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ATC84759.1_1312369,0.7235,3.88,,ATC84759.1,Pseudoalteromonas agarivorans DSM 14585,Pseudoalteromonas agarivorans,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ATC93201.1_314281,0.7274,3.9,,ATC93201.1,Pseudoalteromonas tunicata,Pseudoalteromonas tunicata,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ATC97557.1_1117319,0.7375,3.87,,ATC97557.1,Pseudoalteromonas spongiae UST010723-006,Pseudoalteromonas spongiae,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ATD00292.1_1117319,0.8832,2.42,,ATD00292.1,Pseudoalteromonas spongiae UST010723-006,Pseudoalteromonas spongiae,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ATG48779.1_1758178,0.9401,1.49,,ATG48779.1,Celeribacter ethanolicus,Celeribacter ethanolicus,Celeribacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ATN32858.1_1571470,0.8759,2.62,,ATN32858.1,Rhizobium sp. ACO-34A,unclassified Rhizobium,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AUH34701.1_1529068,0.9606,1.37,,AUH34701.1,Paracoccus tegillarcae,Paracoccus tegillarcae,Paracoccus,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AVF03872.1_2083786,0.9331,1.55,,AVF03872.1,Devosia sp. I507,unclassified Devosia,Devosia,Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AVG23397.1_1159327,0.7697,3.49,,AVG23397.1,Pontimonas salivibrio,Pontimonas salivibrio,Pontimonas,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
AVO47768.1_1868589,0.8961,2.66,,AVO47768.1,Phreatobacter cathodiphilus,Phreatobacter cathodiphilus,Phreatobacter,Phreatobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AVR00721.1_182710,0.9017,2.04,,AVR00721.1,Oceanobacillus iheyensis,Oceanobacillus iheyensis,Oceanobacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
AVW92208.1_875171,0.9355,1.7,,AVW92208.1,Celeribacter baekdonensis,Celeribacter baekdonensis,Celeribacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AWE54263.1_1827580,0.715,3.67,,AWE54263.1,Streptomyces nigra,Streptomyces nigra,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
AWI85201.1_311180,0.9948,0.43,,AWI85201.1,Alloyangia pacifica,Alloyangia pacifica,Alloyangia,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AXI40745.1_1389004,0.9942,0.46,,AXI40745.1,Sulfitobacter sp. SK011,unclassified Sulfitobacter,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AXI48438.1_1389005,0.9831,0.79,,AXI48438.1,Sulfitobacter sp. SK012,unclassified Sulfitobacter,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AXI57169.1_2070369,0.9663,0.93,,AXI57169.1,Sulfitobacter sp. JL08,unclassified Sulfitobacter,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AXJ01281.1_1457365,0.8554,2.41,,AXJ01281.1,Cyclonatronum proteinivorum,Cyclonatronum proteinivorum,Cyclonatronum,Cyclonatronaceae,Balneolales,Balneolia,Balneolota,Pseudomonadati,Bacteria
AXX29817.1_103721,0.9198,1.87,,AXX29817.1,Actinosynnema pretiosum subsp. pretiosum,Actinosynnema pretiosum,Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
AYL40311.1_68203,0.7174,3.7,,AYL40311.1,Streptomyces fungicidicus,Streptomyces fungicidicus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
BBB26251.1_1278309,0.7677,3.68,,BBB26251.1,Amphritea japonica ATCC BAA-1530,Amphritea japonica,Amphritea,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
BBB29834.1_1441457,0.7149,4.15,,BBB29834.1,Neptunomonas japonica JAMM 1380,Neptunomonas japonica,Neptunomonas,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
BBF79806.1_78587,0.912,1.72,,BBF79806.1,Asticcacaulis excentricus,Asticcacaulis excentricus,Asticcacaulis,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
BCD98513.1_2721545,0.7386,3.9,,BCD98513.1,Marinagarivorans cellulosilyticus,Marinagarivorans cellulosilyticus,Marinagarivorans,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
BCD99572.1_2721545,0.9223,1.9,,BCD99572.1,Marinagarivorans cellulosilyticus,Marinagarivorans cellulosilyticus,Marinagarivorans,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
BCE01703.1_2724896,0.6771,4.58,,BCE01703.1,Marinicellulosiphila megalodicopiae,Marinicellulosiphila megalodicopiae,Marinicellulosiphila,Oceanospirillales incertae sedis,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
CAD5272638.1_2768855,0.9268,1.71,,CAD5272638.1,Imperialibacter sp. 75,unclassified Imperialibacter,Imperialibacter,Flammeovirgaceae,Cytophagales,Cytophagia,Bacteroidota,Pseudomonadati,Bacteria
CCF20405.1_1125847,0.9187,1.95,,CCF20405.1,Pseudorhizobium banfieldiae,Pseudorhizobium banfieldiae,Pseudorhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
CCH31977.1_1179773,0.9305,1.8,,CCH31977.1,Saccharothrix espanaensis DSM 44229,Saccharothrix espanaensis,Saccharothrix,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
CEL19634.1_703222,0.9281,1.61,,CEL19634.1,Kibdelosporangium sp. MJ126-NF4,unclassified Kibdelosporangium,Kibdelosporangium,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
EAQ03154.1_252305,0.8787,2.49,,EAQ03154.1,Pseudooceanicola batsensis HTCC2597,Pseudooceanicola batsensis,Pseudooceanicola,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAQ03393.1_252305,0.9668,1.14,,EAQ03393.1,Pseudooceanicola batsensis HTCC2597,Pseudooceanicola batsensis,Pseudooceanicola,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAQ08197.1_314232,0.9834,0.43,,EAQ08197.1,Yoonia vestfoldensis SKA53,Yoonia vestfoldensis,Yoonia,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAQ24544.1_314264,0.9936,0.49,,EAQ24544.1,Roseovarius sp. 217,unclassified Roseovarius,Roseovarius,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAQ25778.1_314264,0.8781,2.39,,EAQ25778.1,Roseovarius sp. 217,unclassified Roseovarius,Roseovarius,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAQ46312.1_314262,0.9457,1.43,,EAQ46312.1,Roseobacter sp. MED193,unclassified Roseobacter,Roseobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAR51170.1_314256,0.9866,0.66,,EAR51170.1,Oceanicola granulosus HTCC2516,Oceanicola granulosus,Oceanicola,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAS49396.1_287752,0.9231,1.84,,EAS49396.1,Aurantimonas manganoxydans SI85-9A1,Aurantimonas manganoxydans,Aurantimonas,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAU40305.1_314231,0.9406,1.49,,EAU40305.1,Fulvimarina pelagi HTCC2506,Fulvimarina pelagi,Fulvimarina,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EAU46768.1_314265,0.9746,0.61,,EAU46768.1,Salipiger bermudensis HTCC2601,Salipiger bermudensis,Salipiger,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EBA16976.1_388739,0.9157,0.85,,EBA16976.1,Roseobacter sp. SK209-2-6,unclassified Roseobacter,Roseobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EEE38440.1_467661,0.9622,1.24,,EEE38440.1,Rhodobacteraceae bacterium KLH11,Rhodobacteraceae bacterium KLH11,unclassified Paracoccaceae,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EGD41262.1_408672,0.8528,2.71,,EGD41262.1,Nocardioidaceae bacterium Broad-1,Nocardioidaceae bacterium Broad-1,unclassified Nocardioidaceae,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
EGF91403.1_715226,0.8288,2,,EGF91403.1,Asticcacaulis biprosthecium C19,Asticcacaulis biprosthecium,Asticcacaulis,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EGP20985.1_999141,0.7331,3.97,,EGP20985.1,Halomonas sp. TD01,unclassified Halomonas,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EHA14927.1_550984,0.7343,4.14,,EHA14927.1,Halomonas sp. HAL1,unclassified Halomonas,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EHK60356.1_1118153,0.7204,3.98,,EHK60356.1,Halomonas sp. GFAJ-1,unclassified Halomonas,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EHP31358.1_929558,0.9109,2.07,,EHP31358.1,Sulfurimonas gotlandica GD1,Sulfurimonas gotlandica,Sulfurimonas,Sulfurimonadaceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,Pseudomonadati,Bacteria
EJZ77745.1_1169410,0.8275,2.68,,EJZ77745.1,Pasteurella multocida subsp. gallicida X73,Pasteurella multocida,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EMD25427.1_1238180,0.928,1.67,,EMD25427.1,Amycolatopsis azurea DSM 43854,Amycolatopsis azurea,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ERP88401.1_1397530,0.9186,1.97,,ERP88401.1,Labrenzia sp. C1B10,unclassified Labrenzia,Labrenzia,Stappiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ESW62374.1_1408890,0.9364,1.63,,ESW62374.1,Rhodobacter sp. CACIA14H1,Rhodobacter sp. CACIA14H1,unclassified Rhodobacter,Rhodobacter,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ETA52969.2_1169855,0.9432,1.53,,ETA52969.2,Rhodobacteraceae bacterium PD-2,Rhodobacteraceae bacterium PD-2,unclassified Paracoccaceae,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ETX13443.1_1449350,0.9914,0.56,,ETX13443.1,Roseivivax halodurans JCM 10272,Roseivivax halodurans,Roseivivax,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ETX29622.1_1449351,0.944,1.49,,ETX29622.1,Roseivivax isoporae LMG 25204,Roseivivax isoporae,Roseivivax,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
EYT79520.1_1470557,0.7258,3.74,,EYT79520.1,Streptomyces sp. Tu 6176,unclassified Streptomyces,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
GAB56706.1_1121923,0.7406,3.84,,GAB56706.1,Glaciecola punicea ACAM 611,Glaciecola punicea,Glaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAC04989.1_1125747,0.7151,4.21,,GAC04989.1,Paraglaciecola agarilytica NO2,Paraglaciecola chathamensis,Paraglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAC16910.1_1127673,0.7697,3.53,,GAC16910.1,Aliiglaciecola lipolytica E3,Aliiglaciecola lipolytica,Aliiglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAC19058.1_493475,0.77,3.53,,GAC19058.1,Paraglaciecola arctica BSs20135,Paraglaciecola arctica,Paraglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAC30001.1_1121922,0.7069,4.2,,GAC30001.1,Brumicola pallidula DSM 14239 = ACAM 615,Brumicola pallidula,Brumicola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAC33738.1_1129793,0.7404,3.85,,GAC33738.1,Paraglaciecola polaris LMG 21857,Paraglaciecola polaris,Paraglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
GAE06271.1_1236974,0.7763,3.54,,GAE06271.1,Paenibacillus sp. JCM 10914,unclassified Paenibacillus,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
GAE28115.1_1236970,0.8674,2.3,,GAE28115.1,Halalkalibacter wakoensis JCM 9140,Halalkalibacter wakoensis,Halalkalibacter,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
GAE30429.1_1236971,0.8562,2.51,,GAE30429.1,Halalkalibacter hemicellulosilyticusJCM 9152,Halalkalibacter hemicellulosilyticus,Halalkalibacter,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
GAE33990.1_1236973,0.8703,2.21,,GAE33990.1,Halalkalibacter akibai JCM 9157,Halalkalibacter akibai,Halalkalibacter,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
GAP45438.1_146537,0.7118,3.66,,GAP45438.1,Streptomyces azureus,Streptomyces azureus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
GKT12440.1_2039724,0.7002,4.14,,GKT12440.1,Thiomicrorhabdus sp.,unclassified Thiomicrorhabdus,Thiomicrorhabdus,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KAF0122346.1_2021379,0.8944,2.71,,KAF0122346.1,Xanthobacteraceae bacterium,Xanthobacteraceae bacterium,unclassified Xanthobacteraceae,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KAF0124513.1_2030800,0.9142,1.93,,KAF0124513.1,Elusimicrobiota bacterium,Elusimicrobiota bacterium,,,,unclassified Elusimicrobiota,Elusimicrobiota,Pseudomonadati,Bacteria
KAF0182163.1_1978230,0.8927,2.15,,KAF0182163.1,Caulobacteraceae bacterium,Caulobacteraceae bacterium,unclassified Caulobacteraceae,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KAF7773837.1_43655,0.7436,3.98,,KAF7773837.1,Pseudoalteromonas citrea,Pseudoalteromonas citrea,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KAF7783627.1_43658,0.8883,2.17,,KAF7783627.1,Pseudoalteromonas rubra,Pseudoalteromonas rubra,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KAJ57126.1_1454373,0.9876,0.41,,KAJ57126.1,Actibacterium mucosum KCTC 23349,Actibacterium mucosum,Actibacterium,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KEJ90744.1_1300350,0.9962,0.37,,KEJ90744.1,Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565,Sulfitobacter donghicola,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KEP67894.1_1185766,0.9416,1.58,,KEP67894.1,Thioclava dalianensis,Thioclava dalianensis,Thioclava,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KFG01626.1_1930,0.7659,3.4,,KFG01626.1,Streptomyces scabiei,Streptomyces scabiei,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
KFG06827.1_1930,0.7322,3.83,,KFG06827.1,Streptomyces scabiei,Streptomyces scabiei,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
KGA97090.1_1218173,0.877,2.49,,KGA97090.1,Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604,Alkalihalobacillus alcalophilus,Alkalihalobacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
KGF71017.1_1547437,0.9273,1.68,,KGF71017.1,Hoeflea sp. BAL378,unclassified Hoeflea,Hoeflea,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KGJ20797.1_1545044,0.9855,0.77,,KGJ20797.1,Paracoccus sanguinis,Paracoccus sanguinis,Paracoccus,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KGL01431.1_1225651,0.9359,1.55,,KGL01431.1,Thalassobacter sp. 16PALIMAR09,unclassified Thalassobacter,Thalassobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KGM10671.1_1386082,0.9498,1.78,,KGM10671.1,Cellulomonas bogoriensis 69B4 = DSM 16987,Cellulomonas bogoriensis,Cellulomonas,Cellulomonadaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
KGM47235.1_1461694,0.9793,0.44,,KGM47235.1,Pseudooceanicola atlanticus,Pseudooceanicola atlanticus,Pseudooceanicola,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KHA50277.1_1342299,0.9912,0.57,,KHA50277.1,Sulfitobacter geojensis,Sulfitobacter geojensis,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
KHF41774.1_333138,0.9018,1.93,,KHF41774.1,Halalkalibacter okhensis,Halalkalibacter okhensis,Halalkalibacter,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacillati,Bacteria
